,,,,,,
,image,asin,title,sale_price,rating,featured_image_source
https://www.amazon.com/COSRX-Repairing-Hydrating-Secretion-Phthalates/dp/B00PBX3L7K/ref=zg_bs_g_beauty_sccl_1/145-8622810-6445254?psc=1,,B00PBX3L7K,"COSRX Snail Mucin 96% Power Repairing Essence 3.38 fl.oz 100ml, Hydrating Serum for Face with Snail Secretion Filtrate for Dull Skin & Fine Lines, Korean Skincare",14.5,4.6,https://m.media-amazon.com/images/I/314C4xFq5jL.jpg
https://www.amazon.com/Mighty-Patch-Hydrocolloid-Absorbing-count/dp/B074PVTPBW/ref=zg_bs_g_beauty_sccl_2/145-8622810-6445254?psc=1,,B074PVTPBW,"Mighty Patch™ Original patch from Hero Cosmetics - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes, Spot Stickers for Face and Skin, Vegan-friendly and Not Tested on Animals (36 Count)",11.97,4.5,https://m.media-amazon.com/images/I/31g-CZLKRrL.jpg
https://www.amazon.com/essence-Princess-Effect-Mascara-Cruelty/dp/B00T0C9XRK/ref=zg_bs_g_beauty_sccl_3/145-8622810-6445254?psc=1,,B00T0C9XRK,essence | Lash Princess False Lash Effect Mascara | Gluten & Cruelty Free,4.99,4.3,https://m.media-amazon.com/images/I/41IP2ZEXFNL.jpg
https://www.amazon.com/Mielle-Rosemary-Mint-Scalp-Strengthening/dp/B07N7PK9QK/ref=zg_bs_g_beauty_sccl_4/145-8622810-6445254?th=1,,B07N7PK9QK,"Mielle Organics Rosemary Mint Scalp & Hair Strengthening Oil With Biotin & Essential Oils, Nourishing Treatment for Split Ends and Dry Scalp for All Hair Types, 2-Fluid Ounces",9.97,4.6,https://m.media-amazon.com/images/I/61pQ8ZlA-8L.jpg
https://www.amazon.com/Neutrogena-Cleansing-Towelettes-Waterproof-Alcohol-Free/dp/B00U2VQZDS/ref=zg_bs_g_beauty_sccl_5/145-8622810-6445254?psc=1,,B00U2VQZDS,"Neutrogena Cleansing Fragrance Free Makeup Remover Face Wipes, Cleansing Facial Towelettes for Waterproof Makeup, Alcohol-Free, Unscented, 100% Plant-Based Fibers, Twin Pack, 2 x 25 ct",10.27,4.8,https://m.media-amazon.com/images/I/41n7Cb8jk-L.jpg
https://www.amazon.com/PanOxyl-Foaming-Peroxide-Strength-Antimicrobial/dp/B081KL2QYJ/ref=zg_bs_g_beauty_sccl_6/145-8622810-6445254?psc=1,,B081KL2QYJ,"PanOxyl Acne Foaming Wash Benzoyl Peroxide 10% Maximum Strength Antimicrobial, 5.5 Oz",9.77,4.6,https://m.media-amazon.com/images/I/4145mJCb9uL.jpg
https://www.amazon.com/Nizoral-Anti-Dandruff-Shampoo-Ketoconazole-Dandruff/dp/B00AINMFAC/ref=zg_bs_g_beauty_sccl_7/145-8622810-6445254?psc=1,,B00AINMFAC,"Nizoral Anti-Dandruff Shampoo with 1% Ketoconazole, Fresh Scent, 7 Fl Oz",13.75,4.6,https://m.media-amazon.com/images/I/41D7x04cFtL.jpg
https://www.amazon.com/Amazon-Basics-Cotton-Rounds-Count/dp/B09542G9ZN/ref=zg_bs_g_beauty_sccl_8/145-8622810-6445254?psc=1,,B09542G9ZN,"Amazon Basics Cotton Rounds, 100 Count (Previously Solimo)",2.49,4.7,https://m.media-amazon.com/images/I/21OFFYngspL.jpg
https://www.amazon.com/MRS-MEYERS-CLEAN-DAY-Biodegradable/dp/B07TJG79HP/ref=zg_bs_g_beauty_sccl_9/145-8622810-6445254?psc=1,,B07TJG79HP,"MRS. MEYER'S CLEAN DAY Hand Soap, Made with Essential Oils, Biodegradable Formula, Rain Water, 12.5 fl. oz - Pack of 3",12.87,4.8,https://m.media-amazon.com/images/I/51YOG0S8HxL.jpg
https://www.amazon.com/CeraVe-Moisturizing-Cream-Daily-Moisturizer/dp/B00TTD9BRC/ref=zg_bs_g_beauty_sccl_10/145-8622810-6445254?psc=1,,B00TTD9BRC,CeraVe Moisturizing Cream | Body and Face Moisturizer for Dry Skin | Body Cream with Hyaluronic Acid and Ceramides | Hydrating Moisturizer | Fragrance Free Non-Comedogenic | 19 Ounce,17.78,4.8,https://m.media-amazon.com/images/I/41V5hKBXqyL.jpg
https://www.amazon.com/Control-Pomade-Non-greasy-Styling-Samnyte/dp/B0914XZT2W/ref=zg_bs_g_beauty_sccl_11/145-8622810-6445254?psc=1,,B0914XZT2W,"Samnyte Hair Wax Stick, Wax Stick for Hair Slick Stick, Hair Wax Stick for Flyaways Hair Gel Stick Non-greasy Styling Cream for Fly Away & Edge Control Frizz Hair 2.7 Oz",7.99,4.3,https://m.media-amazon.com/images/I/417h8kM6cCL.jpg
https://www.amazon.com/Clean-Skin-Club-Disposable-Sensitive/dp/B07PBXXNCY/ref=zg_bs_g_beauty_sccl_12/145-8622810-6445254?psc=1,,B07PBXXNCY,"Clean Skin Club Clean Towels XL, 100% USDA Biobased Dermatologist Approved Face Towel, Disposable Clinically Tested Face Towelette, Makeup Remover Dry Wipes, Ultra Soft, 50 Ct, 1 Pack",17.95,4.8,https://m.media-amazon.com/images/I/31+mC6e0xkL.jpg
https://www.amazon.com/Certified-Kate-Stimulate-Eyelashes-Treatment/dp/B01NALN8Q9/ref=zg_bs_g_beauty_sccl_13/145-8622810-6445254?psc=1,,B01NALN8Q9,"Kate Blanc Cosmetics Castor Oil (2oz), USDA Certified Organic, 100% Pure, Cold Pressed, Hexane Free Stimulate Growth for Eyelashes, Eyebrows, Hair. Skin Moisturizer & Hair Treatment Starter Kit",9.99,4.5,https://m.media-amazon.com/images/I/41rS6jII19L.jpg
https://www.amazon.com/Amazon-Basics-Cotton-Swabs-500ct/dp/B09541P9WH/ref=zg_bs_g_beauty_sccl_14/145-8622810-6445254?psc=1,,B09541P9WH,"Amazon Basics Cotton Swabs, 500 Count (Previously Solimo)",2.72,4.7,https://m.media-amazon.com/images/I/41T+1zcLu+L.jpg
https://www.amazon.com/NYX-PROFESSIONAL-MAKEUP-Retractable-Smudge-Proof/dp/B005G9E9AW/ref=zg_bs_g_beauty_sccl_15/145-8622810-6445254?psc=1,,B005G9E9AW,"NYX PROFESSIONAL MAKEUP Mechanical Eyeliner Pencil, Creamy Retractable Eyeliner, Smudge-Proof & Smooth Gliding, Black",6.47,4.5,https://m.media-amazon.com/images/I/31kfQzaLluL.jpg
https://www.amazon.com/Paulas-Choice-SKIN-PERFECTING-Exfoliant-Facial-Blackheads/dp/B00949CTQQ/ref=zg_bs_g_beauty_sccl_16/145-8622810-6445254?psc=1,,B00949CTQQ,"Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant--Facial Exfoliant for Blackheads, Enlarged Pores, Wrinkles & Fine Lines, 4 oz Bottle",35,4.5,https://m.media-amazon.com/images/I/312ijnXq4rL.jpg
https://www.amazon.com/Hula-Home-Continuous-Plastic-Sprayer/dp/B0948WBX9L/ref=zg_bs_g_beauty_sccl_17/145-8622810-6445254?psc=1,,B0948WBX9L,"Hula Home Continuous Spray Bottle for Hair (10.1oz/300ml) Mist Empty Ultra Fine Plastic Water Sprayer – For Hairstyling, Cleaning, Salons, Plants, Essential Oil Scents & More - White",8.99,4.4,https://m.media-amazon.com/images/I/61hBDatnE8S.jpg
https://www.amazon.com/Dove-Body-Wash-Pump-Moisture/dp/B00MEDOY2G/ref=zg_bs_g_beauty_sccl_18/145-8622810-6445254?psc=1,,B00MEDOY2G,Dove Body Wash with Pump Deep Moisture For Dry Skin Moisturizing Skin Cleanser with 24hr Renewing MicroMoisture Nourishes The Driest Skin 30.6 oz,9.47,4.8,https://m.media-amazon.com/images/I/61pxAiBi7rL.jpg
https://www.amazon.com/Maybelline-Volumizing-Buildable-Lengthening-Multiplying/dp/B08H3JPH74/ref=zg_bs_g_beauty_sccl_19/145-8622810-6445254?psc=1,,B08H3JPH74,"Maybelline Lash Sensational Sky High Washable Mascara Makeup, Volumizing, Lengthening, Defining, Curling, Multiplying, Buildable Formula, Blackest Black, 1 Count",9.98,4.5,https://m.media-amazon.com/images/I/415FDs+VzPL.jpg
https://www.amazon.com/NYX-PROFESSIONAL-MAKEUP-Butter-Non-Sticky/dp/B09SP2XHKT/ref=zg_bs_g_beauty_sccl_20/145-8622810-6445254?psc=1,,B09SP2XHKT,"NYX PROFESSIONAL MAKEUP Butter Gloss, Non-Sticky Lip Gloss - Sugar Glass (Clear)",4.97,4.5,https://m.media-amazon.com/images/I/31OmpXkYJmL.jpg
https://www.amazon.com/MRS-MEYERS-CLEAN-DAY-Biodegradable/dp/B00262227E/ref=zg_bs_g_beauty_sccl_21/145-8622810-6445254?psc=1,,B00262227E,"Mrs. Meyer's Hand Soap Refill, Made with Essential Oils, Biodegradable Formula, Lavender, 33 fl. oz",7.48,4.7,https://m.media-amazon.com/images/I/71BPfByBRDL.jpg
https://www.amazon.com/Roche-Posay-Toleriane-Double-Repair-Moisturizer/dp/B01N9SPQHQ/ref=zg_bs_g_beauty_sccl_22/145-8622810-6445254?psc=1,,B01N9SPQHQ,La Roche-Posay Toleriane Double Repair Face Moisturizer,21.99,4.6,https://m.media-amazon.com/images/I/41NHgWAaYAL.jpg
https://www.amazon.com/MEICOLY-Holographic-Festival-Accessories-Sparkling/dp/B09VFKGL92/ref=zg_bs_g_beauty_sccl_23/145-8622810-6445254?psc=1,,B09VFKGL92,"MEICOLY Clear White Body Glitter,Singer Concerts Music Festival Rave Accessories,Mermaid Face Glitter Gel,Sequins Glitter Face Paint,Chunky Hair Sparkling Halloween Glitter Gel for Women,50ml",6.98,4.4,https://m.media-amazon.com/images/I/71OYxhYbNLL.jpg
https://www.amazon.com/Schick-Multipurpose-Exfoliating-Dermaplaning-Precision/dp/B0787GLBMV/ref=zg_bs_g_beauty_sccl_24/145-8622810-6445254?psc=1,,B0787GLBMV,"Schick Hydro Silk Touch-Up Exfoliating Dermaplaning Tool, Face & Eyebrow Razor with Precision Cover- 3 Count | Dermaplaning Razor For Women",5.84,4.6,https://m.media-amazon.com/images/I/41RQVKy-q0L.jpg
https://www.amazon.com/COSRX-Moisturizing-Secretion-Moisturiser-Hydration/dp/B01LEJ5MSK/ref=zg_bs_g_beauty_sccl_25/145-8622810-6445254?psc=1,,B01LEJ5MSK,"COSRX Snail Mucin 92% Moisturizer 3.52oz/ 100g, Daily Repair Face Gel Cream for Dry, Sensitive Skin, Not Tested on Animals, No Parabens, No Sulfates, No Phthalates, Korean Skincare",14.89,4.5,https://m.media-amazon.com/images/I/41jr8+gYzPL.jpg
https://www.amazon.com/Valitic-Remover-Vitamin-Collagen-Turmeric/dp/B09MFMCTRK/ref=zg_bs_g_beauty_sccl_26/145-8622810-6445254?psc=1,,B09MFMCTRK,"VALITIC Kojic Acid Dark Spot Remover Soap Bars with Vitamin C, Retinol, Collagen, Turmeric - Original Japanese Complex Infused with Hyaluronic Acid, Vitamin E, Shea Butter, Castile Olive Oil (2 Pack)",11.99,4.1,https://m.media-amazon.com/images/I/41Md73Ay09L.jpg
https://www.amazon.com/SOL-JANEIRO-Cheirosa-Hair-Fragrance/dp/B09W18N3GT/ref=zg_bs_g_beauty_sccl_27/145-8622810-6445254?psc=1,,B09W18N3GT,SOL DE JANEIRO Hair & Body Fragrance Mist 90mL/3.0 fl oz.,24,4.5,https://m.media-amazon.com/images/I/41Uj8Ti9U1L.jpg
https://www.amazon.com/Laneige-Sleeping-Berry/dp/B07XXPHQZK/ref=zg_bs_g_beauty_sccl_28/145-8622810-6445254?psc=1,,B07XXPHQZK,"LANEIGE Lip Sleeping Mask: Nourish & Hydrate with Vitamin C, Antioxidants, 0.7 oz.",24,4.7,https://m.media-amazon.com/images/I/41-ptaY29CL.jpg
https://www.amazon.com/KISS-Adhesive-Waterproof-Formaldehyde-Applicator/dp/B01BMMOAFU/ref=zg_bs_g_beauty_sccl_29/145-8622810-6445254?psc=1,,B01BMMOAFU,"KISS Clear Strip Lash Adhesive With Aloe, Waterproof, Formaldehyde and Latex Free, Odor Free, Cruelty Free, Super Strong Hold Eyelash Glue with Brush Applicator, 0.17 Oz",2.99,4.5,https://m.media-amazon.com/images/I/41OYWhIAYML.jpg
https://www.amazon.com/Differin-Adapalene-0-1-Acne-Treatment/dp/B07L1PHSY9/ref=zg_bs_g_beauty_sccl_30/145-8622810-6445254?psc=1,,B07L1PHSY9,"Differin Acne Treatment Gel, 30 Day Supply, Retinoid Treatment for Face with 0.1% Adapalene, Gentle Skin Care for Acne Prone Sensitive Skin, 15g Tube (Packaging May Vary)",14.97,4.5,https://m.media-amazon.com/images/I/41f96IOJB1L.jpg
https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B07RK4HST7/ref=zg_bs_g_beauty_sccl_31/145-8622810-6445254?psc=1,,B07RK4HST7,CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion & Facial Moisturizer with Hyaluronic Acid and Ceramides | Fragrance Free | 19 Ounce,17.95,4.7,https://m.media-amazon.com/images/I/41tRt1pyslL.jpg
https://www.amazon.com/CeraVe-Hydrating-Facial-Cleanser-Fragrance/dp/B01MSSDEPK/ref=zg_bs_g_beauty_sccl_32/145-8622810-6445254?psc=1,,B01MSSDEPK,"CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",15.48,4.7,https://m.media-amazon.com/images/I/41YuSwjJUIL.jpg
https://www.amazon.com/Laneige-Lip-Glowy-Balm-Berry/dp/B07DY2QRF6/ref=zg_bs_g_beauty_sccl_33/145-8622810-6445254?psc=1,,B07DY2QRF6,LANEIGE Lip Glowy Balm,18,4.7,https://m.media-amazon.com/images/I/31qXrVfhvCL.jpg
https://www.amazon.com/l-f-Cosmetics-Hydrating-Concealer-Full-coverage/dp/B07ZR14WBZ/ref=zg_bs_g_beauty_sccl_34/145-8622810-6445254?psc=1,,B07ZR14WBZ,"e.l.f., Hydrating Camo Concealer, Lightweight, Full Coverage, Long Lasting, Conceals, Corrects, Covers, Hydrates, Highlights, Light Sand, Satin Finish, 25 Shades, All-Day Wear, 0.20 Fl Oz",7,4.3,https://m.media-amazon.com/images/I/313ljymBVaL.jpg
https://www.amazon.com/Nutrafol-Supplements-Clinically-Dermatologist-Recommended/dp/B07QZ5CTTF/ref=zg_bs_g_beauty_sccl_35/145-8622810-6445254?psc=1,,B07QZ5CTTF,"Nutrafol Women's Balance Hair Growth Supplements, Ages 45 and Up, Clinically Proven for Visibly Thicker Hair and Scalp Coverage, Dermatologist Recommended - 1 Month Supply",88,4.3,https://m.media-amazon.com/images/I/31wan-6QR4L.jpg
https://www.amazon.com/Mighty-Patch-Hydrocolloid-Absorbing-Pimple/dp/B07B4KQVK6/ref=zg_bs_g_beauty_sccl_36/145-8622810-6445254?psc=1,,B07B4KQVK6,"Mighty Patch™ Original patch from Hero Cosmetics - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes, Spot Stickers for Face and Skin (72 Count)",21.99,4.8,https://m.media-amazon.com/images/I/314n5YlE34L.jpg
https://www.amazon.com/Neutrogena-Cleansing-Towelette-Waterproof-Individually/dp/B07GKVBQDG/ref=zg_bs_g_beauty_sccl_37/145-8622810-6445254?psc=1,,B07GKVBQDG,"Neutrogena Makeup Remover Wipes Singles, Daily Facial Cleanser Towelettes, Gently Removes Oil & Makeup, Alcohol-Free Makeup Wipes, Individually Wrapped, 20 ct",6.84,4.8,https://m.media-amazon.com/images/I/41h0nqeEYkL.jpg
https://www.amazon.com/Maybelline-Longwear-No-Budge-Lipcolor-Pigmented/dp/B09T8DQ1SG/ref=zg_bs_g_beauty_sccl_38/145-8622810-6445254?psc=1,,B09T8DQ1SG,"Maybelline Super Stay Vinyl Ink Longwear No-Budge Liquid Lipcolor Makeup, Highly Pigmented Color and Instant Shine, Royal, Deep Wine Red Lipstick, 0.14 fl oz, 1 Count",9.98,4.3,https://m.media-amazon.com/images/I/41gpuwrIhOL.jpg
https://www.amazon.com/CeraVe-Facial-Moisturizing-Lotion-AM/dp/B00F97FHAW/ref=zg_bs_g_beauty_sccl_39/145-8622810-6445254?psc=1,,B00F97FHAW,CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,11.93,4.5,https://m.media-amazon.com/images/I/41K+11aLxaL.jpg
https://www.amazon.com/Maybelline-New-York-Treatment-Multi-Use/dp/B004Y9GTOO/ref=zg_bs_g_beauty_sccl_40/145-8622810-6445254?psc=1,,B004Y9GTOO,"Maybelline New York Instant Age Rewind Eraser Dark Circles Treatment Multi-Use Concealer, 110, 1 Count (Packaging May Vary)",8.8,4.4,https://m.media-amazon.com/images/I/31OBIAe2vDL.jpg